path,nv,workers,opening,run_id,status,platform,isolation,proof_bytes,protocol_bytes,prover_ms,verifier_ms
cells/cell-000/repetitions/000/protocol11_m2_paper100/cells/cell-000/repetitions/000-1783748915228-15710,18,2,protocol11,protocol11_m2_paper100/cells/cell-000/repetitions/000-1783748915228-15710,ok,linux,strict,7136168,11403614,5099.013,2622.887
cells/cell-001/repetitions/000/protocol11_m2_paper100/cells/cell-001/repetitions/000-1783748938011-15710,18,2,protocol11-batch,protocol11_m2_paper100/cells/cell-001/repetitions/000-1783748938011-15710,ok,linux,strict,14230302,22743612,9858.571,5019.891
cells/cell-002/repetitions/000/protocol11_m2_paper100/cells/cell-002/repetitions/000-1783748962558-15710,18,4,protocol11,protocol11_m2_paper100/cells/cell-002/repetitions/000-1783748962558-15710,ok,linux,strict,10679648,45177026,6295.934,3191.438
cells/cell-003/repetitions/000/protocol11_m2_paper100/cells/cell-003/repetitions/000-1783748990827-15710,18,4,protocol11-batch,protocol11_m2_paper100/cells/cell-003/repetitions/000-1783748990827-15710,ok,linux,strict,21343310,90309028,12369.988,6208.990
cells/cell-004/repetitions/000/protocol11_m2_paper100/cells/cell-004/repetitions/000-1783749019627-15710,19,2,protocol11,protocol11_m2_paper100/cells/cell-004/repetitions/000-1783749019627-15710,ok,linux,strict,8305384,13337286,6720.991,3377.936
cells/cell-005/repetitions/000/protocol11_m2_paper100/cells/cell-005/repetitions/000-1783749048987-15710,19,2,protocol11-batch,protocol11_m2_paper100/cells/cell-005/repetitions/000-1783749048987-15710,ok,linux,strict,16600510,26659436,12729.251,6393.139
cells/cell-006/repetitions/000/protocol11_m2_paper100/cells/cell-006/repetitions/000-1783749080463-15710,19,4,protocol11,protocol11_m2_paper100/cells/cell-006/repetitions/000-1783749080463-15710,ok,linux,strict,13720384,56586594,8152.474,4045.060
cells/cell-007/repetitions/000/protocol11_m2_paper100/cells/cell-007/repetitions/000-1783749116803-15710,19,4,protocol11-batch,protocol11_m2_paper100/cells/cell-007/repetitions/000-1783749116803-15710,ok,linux,strict,27448494,113150276,15985.140,7938.420
cells/cell-008/repetitions/000/protocol11_m2_paper100/cells/cell-008/repetitions/000-1783749155048-15710,20,2,protocol11,protocol11_m2_paper100/cells/cell-008/repetitions/000-1783749155048-15710,ok,linux,strict,9624296,15521454,9377.617,4723.404
cells/cell-009/repetitions/000/protocol11_m2_paper100/cells/cell-009/repetitions/000-1783749195745-15710,20,2,protocol11-batch,protocol11_m2_paper100/cells/cell-009/repetitions/000-1783749195745-15710,ok,linux,strict,19261918,31081596,17589.360,8821.397
cells/cell-010/repetitions/000/protocol11_m2_paper100/cells/cell-010/repetitions/000-1783749237689-15710,20,4,protocol11,protocol11_m2_paper100/cells/cell-010/repetitions/000-1783749237689-15710,ok,linux,strict,15995312,66483658,10270.246,5090.908
cells/cell-011/repetitions/000/protocol11_m2_paper100/cells/cell-011/repetitions/000-1783749283200-15710,20,4,protocol11-batch,protocol11_m2_paper100/cells/cell-011/repetitions/000-1783749283200-15710,ok,linux,strict,32001070,132997364,20050.283,9889.352
cells/cell-012/repetitions/000/protocol11_m2_paper100/cells/cell-012/repetitions/000-1783749334767-15710,21,2,protocol11,protocol11_m2_paper100/cells/cell-012/repetitions/000-1783749334767-15710,ok,linux,strict,11142120,18051382,14258.715,7039.080
cells/cell-013/repetitions/000/protocol11_m2_paper100/cells/cell-013/repetitions/000-1783749395615-15710,21,2,protocol11-batch,protocol11_m2_paper100/cells/cell-013/repetitions/000-1783749395615-15710,ok,linux,strict,22281470,36126316,26299.845,12984.033
cells/cell-014/repetitions/000/protocol11_m2_paper100/cells/cell-014/repetitions/000-1783749455580-15710,21,4,protocol11,protocol11_m2_paper100/cells/cell-014/repetitions/000-1783749455580-15710,ok,linux,strict,18544896,77653618,13700.805,6755.946
cells/cell-015/repetitions/000/protocol11_m2_paper100/cells/cell-015/repetitions/000-1783749515838-15710,21,4,protocol11-batch,protocol11_m2_paper100/cells/cell-015/repetitions/000-1783749515838-15710,ok,linux,strict,37058702,155152772,26677.669,13045.492
cells/cell-016/repetitions/000/protocol11_m2_paper100/cells/cell-016/repetitions/000-1783749590986-15710,22,2,protocol11,protocol11_m2_paper100/cells/cell-016/repetitions/000-1783749590986-15710,ok,linux,strict,12729160,20670462,23599.531,11578.714
cells/cell-017/repetitions/000/protocol11_m2_paper100/cells/cell-017/repetitions/000-1783749689758-15710,22,2,protocol11-batch,protocol11_m2_paper100/cells/cell-017/repetitions/000-1783749689758-15710,ok,linux,strict,25553054,41537500,42730.465,20725.615
cells/cell-018/repetitions/000/protocol11_m2_paper100/cells/cell-018/repetitions/000-1783749782698-15710,22,4,protocol11,protocol11_m2_paper100/cells/cell-018/repetitions/000-1783749782698-15710,ok,linux,strict,21446928,90367450,19497.005,9548.226
cells/cell-019/repetitions/000/protocol11_m2_paper100/cells/cell-019/repetitions/000-1783749866929-15710,22,4,protocol11-batch,protocol11_m2_paper100/cells/cell-019/repetitions/000-1783749866929-15710,ok,linux,strict,42703406,179969460,36972.957,18111.711
cells/cell-020/repetitions/000/protocol11_m2_paper100/cells/cell-020/repetitions/000-1783749984116-15710,23,2,protocol11,protocol11_m2_paper100/cells/cell-020/repetitions/000-1783749984116-15710,ok,linux,strict,14589032,23796390,41634.266,20199.565
cells/cell-021/repetitions/000/protocol11_m2_paper100/cells/cell-021/repetitions/000-1783750155529-15710,23,2,protocol11-batch,protocol11_m2_paper100/cells/cell-021/repetitions/000-1783750155529-15710,ok,linux,strict,29144734,47506220,74127.806,35536.307
cells/cell-022/repetitions/000/protocol11_m2_paper100/cells/cell-022/repetitions/000-1783750310752-15710,23,4,protocol11,protocol11_m2_paper100/cells/cell-022/repetitions/000-1783750310752-15710,ok,linux,strict,24440800,103473954,30544.092,14691.552
cells/cell-023/repetitions/000/protocol11_m2_paper100/cells/cell-023/repetitions/000-1783750439983-15710,23,4,protocol11-batch,protocol11_m2_paper100/cells/cell-023/repetitions/000-1783750439983-15710,ok,linux,strict,48952110,207435812,56516.759,27158.544
cells/cell-024/repetitions/000/protocol11_m2_paper100/cells/cell-024/repetitions/000-1783750637276-15710,24,2,protocol11,protocol11_m2_paper100/cells/cell-024/repetitions/000-1783750637276-15710,ok,linux,strict,16513544,26997742,76777.627,36339.164
cells/cell-025/repetitions/000/protocol11_m2_paper100/cells/cell-025/repetitions/000-1783750948769-15710,24,2,protocol11-batch,protocol11_m2_paper100/cells/cell-025/repetitions/000-1783750948769-15710,ok,linux,strict,33023038,53972092,134612.759,63508.658
cells/cell-026/repetitions/000/protocol11_m2_paper100/cells/cell-026/repetitions/000-1783751221045-15710,24,4,protocol11,protocol11_m2_paper100/cells/cell-026/repetitions/000-1783751221045-15710,ok,linux,strict,27874928,118597514,49688.090,23912.541
cells/cell-027/repetitions/000/protocol11_m2_paper100/cells/cell-027/repetitions/000-1783751428239-15710,24,4,protocol11-batch,protocol11_m2_paper100/cells/cell-027/repetitions/000-1783751428239-15710,ok,linux,strict,55778510,237397716,90388.919,42809.002
