path,nv,workers,opening,run_id,status,platform,isolation,proof_bytes,protocol_bytes,prover_ms,verifier_ms
cells/cell-000-746aaa9c/repetitions/000/cell-000-746aaa9c-repetition-000-1783767227866-18735,18,2,protocol11,cell-000-746aaa9c-repetition-000-1783767227866-18735,ok,linux,strict,7117096,11381246,5181.251,2723.107
cells/cell-001-97726d15/repetitions/000/cell-001-97726d15-repetition-000-1783767251538-18735,18,2,protocol11-batch,cell-001-97726d15-repetition-000-1783767251538-18735,ok,linux,strict,14232798,22766332,9934.826,5123.532
cells/cell-002-147274b2/repetitions/000/cell-002-147274b2-repetition-000-1783767276960-18735,18,4,protocol11,cell-002-147274b2-repetition-000-1783767276960-18735,ok,linux,strict,10670688,45133378,6326.503,3234.095
cells/cell-003-803ba3cd/repetitions/000/cell-003-803ba3cd-repetition-000-1783767305971-18735,18,4,protocol11-batch,cell-003-803ba3cd-repetition-000-1783767305971-18735,ok,linux,strict,21342990,90187140,12453.603,6327.832
cells/cell-004-1c0bb508/repetitions/000/cell-004-1c0bb508-repetition-000-1783767335761-18735,19,2,protocol11,cell-004-1c0bb508-repetition-000-1783767335761-18735,ok,linux,strict,8292936,13336166,6701.085,3424.398
cells/cell-005-beae7d8e/repetitions/000/cell-005-beae7d8e-repetition-000-1783767365824-18735,19,2,protocol11-batch,cell-005-beae7d8e-repetition-000-1783767365824-18735,ok,linux,strict,16633438,26721452,12780.850,6433.644
cells/cell-006-bdbda708/repetitions/000/cell-006-bdbda708-repetition-000-1783767398216-18735,19,4,protocol11,cell-006-bdbda708-repetition-000-1783767398216-18735,ok,linux,strict,13749472,56668866,8174.028,4131.383
cells/cell-007-299d821a/repetitions/000/cell-007-299d821a-repetition-000-1783767435718-18735,19,4,protocol11-batch,cell-007-299d821a-repetition-000-1783767435718-18735,ok,linux,strict,27455342,113168964,16031.191,8036.291
cells/cell-008-dfe5eec9/repetitions/000/cell-008-dfe5eec9-repetition-000-1783767475140-18735,20,2,protocol11,cell-008-dfe5eec9-repetition-000-1783767475140-18735,ok,linux,strict,9671208,15621038,9467.647,4730.481
cells/cell-009-02d623ae/repetitions/000/cell-009-02d623ae-repetition-000-1783767516475-18735,20,2,protocol11-batch,cell-009-02d623ae-repetition-000-1783767516475-18735,ok,linux,strict,19272094,31085660,17652.444,8936.526
cells/cell-010-5289c8e3/repetitions/000/cell-010-5289c8e3-repetition-000-1783767559272-18735,20,4,protocol11,cell-010-5289c8e3-repetition-000-1783767559272-18735,ok,linux,strict,15988432,66492810,10341.386,5125.209
cells/cell-011-29183bbf/repetitions/000/cell-011-29183bbf-repetition-000-1783767605982-18735,20,4,protocol11-batch,cell-011-29183bbf-repetition-000-1783767605982-18735,ok,linux,strict,31928846,132727348,20099.829,9941.074
cells/cell-012-cabac351/repetitions/000/cell-012-cabac351-repetition-000-1783767658405-18735,21,2,protocol11,cell-012-cabac351-repetition-000-1783767658405-18735,ok,linux,strict,11101960,17992886,14362.667,7128.912
cells/cell-013-e2b6dbdc/repetitions/000/cell-013-e2b6dbdc-repetition-000-1783767719953-18735,21,2,protocol11-batch,cell-013-e2b6dbdc-repetition-000-1783767719953-18735,ok,linux,strict,22274206,36053100,26473.413,13141.191
cells/cell-014-bc10e73d/repetitions/000/cell-014-bc10e73d-repetition-000-1783767781397-18735,21,4,protocol11,cell-014-bc10e73d-repetition-000-1783767781397-18735,ok,linux,strict,18528128,77565042,13843.337,6830.377
cells/cell-015-8b99eb91/repetitions/000/cell-015-8b99eb91-repetition-000-1783767842861-18735,21,4,protocol11-batch,cell-015-8b99eb91-repetition-000-1783767842861-18735,ok,linux,strict,37026254,155024196,26610.723,13037.721
cells/cell-016-1e25a354/repetitions/000/cell-016-1e25a354-repetition-000-1783767919167-18735,22,2,protocol11,cell-016-1e25a354-repetition-000-1783767919167-18735,ok,linux,strict,12757704,20759486,23832.255,11638.134
cells/cell-017-e5a824c5/repetitions/000/cell-017-e5a824c5-repetition-000-1783768019393-18735,22,2,protocol11-batch,cell-017-e5a824c5-repetition-000-1783768019393-18735,ok,linux,strict,25559966,41526908,42817.523,20849.756
cells/cell-018-ec6f1a67/repetitions/000/cell-018-ec6f1a67-repetition-000-1783768113374-18735,22,4,protocol11,cell-018-ec6f1a67-repetition-000-1783768113374-18735,ok,linux,strict,21374800,90041658,19810.975,9634.271
cells/cell-019-c2dd499c/repetitions/000/cell-019-c2dd499c-repetition-000-1783768199431-18735,22,4,protocol11-batch,cell-019-c2dd499c-repetition-000-1783768199431-18735,ok,linux,strict,42753358,180138356,37140.395,18356.157
cells/cell-020-f84defb2/repetitions/000/cell-020-f84defb2-repetition-000-1783768318204-18735,23,2,protocol11,cell-020-f84defb2-repetition-000-1783768318204-18735,ok,linux,strict,14574152,23760614,42105.425,20248.906
