scheme,backend,backend_rate_inv,runner,opening,workers,nv,polynomial_length,commit_ms,open_ms,verify_ms,prover_ms,proof_kib,communication_kib,verifier_communication_kib,scheme_reported_communication_kib,communication_basis,communication_cost_kib,communication_cost_basis,communication_bytes,verifier_communication_bytes,scheme_reported_communication_bytes,network_commit_bytes,network_open_bytes,network_bytes,paper_worker_commit_max_ms,paper_worker_commit_sum_ms,paper_worker_open_max_ms,paper_worker_open_sum_ms,paper_master_assemble_ms,paper_worker_verify_max_ms,paper_worker_verify_sum_ms,paper_master_verify_ms,worker_local_compute_ms,end_to_end_open_proof_ms,worker_local_speedup,end_to_end_open_speedup,batch_claim_count,batch_open_ms,batch_verify_ms,batch_proof_bytes,effective_query_count,column_query_count,pcs_query_count,query_security_bits,algebraic_security_bits,query_count_semantics,query_count_target,host_logical_cores,max_workers,cores_per_worker,backend_source,field,hash,code_rate_log,security_target_bits,security_effective_bits,security_exact,source_rev,verified,source
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,18,262144,78.2403,90.7966,18.6966,169.0369,443.9375,451.1171875,443.9375,,master_worker_sent_recv,451.1171875,master_worker_sent_recv,461944.0,454592.0,,3732.0,458212.0,461944.0,77.952,154.9189,86.3203,170.5576,3.1303,14.6006,27.2955,18.6916,78.2403,90.7966,1.0,1.0,4.0,90.7966,18.6966,450900.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2\pcs-bench-1782391920408; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,19,524288,172.7993,146.5191,29.2353,319.3184,517.953125,525.3359375,517.953125,,master_worker_sent_recv,525.3359375,master_worker_sent_recv,537944.0,530384.0,,3828.0,534116.0,537944.0,172.4619,344.8569,142.1173,280.2339,3.2585,24.7931,49.1838,29.229,172.7993,146.5191,1.0,1.0,4.0,146.5191,29.2353,526596.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2\pcs-bench-1782391921832; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,20,1048576,339.94,262.4851,50.5197,602.4250999999999,603.5625,611.1484375,603.5625,,master_worker_sent_recv,611.1484375,master_worker_sent_recv,625816.0,618048.0,,3924.0,621892.0,625816.0,339.6525,672.8136,256.9844,508.5248,4.2791,45.3597,89.8321,50.5153,339.94,262.4851,1.0,1.0,4.0,262.4851,50.5197,614164.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2\pcs-bench-1782391923398; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,21,2097152,1425.9793,522.1483,89.1245,1948.1275999999998,686.53125,694.3203125,686.53125,,master_worker_sent_recv,694.3203125,master_worker_sent_recv,710984.0,703008.0,,4020.0,706964.0,710984.0,1425.6151,2849.9893,516.4656,1031.4919,4.7832,83.9169,166.4537,89.1205,1425.9793,522.1483,1.0,1.0,4.0,522.1483,89.1245,699028.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2\pcs-bench-1782391925283; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,22,4194304,1457.702,1015.9913,225.5991,2473.6933,785.65625,793.6484375,785.65625,,master_worker_sent_recv,793.6484375,master_worker_sent_recv,812696.0,804512.0,,4116.0,808580.0,812696.0,1457.3211,2889.5377,1008.5583,1970.9706,5.7489,219.122,433.5631,225.594,1457.702,1015.9913,1.0,1.0,4.0,1015.9913,225.5991,800436.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2\pcs-bench-1782391928577; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,23,8388608,3874.4133,2568.4082,439.0497,6442.8215,881.625,889.8203125,881.625,,master_worker_sent_recv,889.8203125,master_worker_sent_recv,911176.0,902784.0,,4212.0,906964.0,911176.0,3873.89,7653.3836,2558.3155,5075.4367,7.9025,429.2963,853.9958,439.044,3874.4133,2568.4082,1.0,1.0,4.0,2568.4082,439.0497,898612.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2\pcs-bench-1782391932584; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,24,16777216,8443.2242,5948.9996,789.4779,14392.2238,985.6875,994.0859375,985.6875,,master_worker_sent_recv,994.0859375,master_worker_sent_recv,1017944.0,1009344.0,,4308.0,1013636.0,1017944.0,8442.936,16478.2004,5940.3994,11799.7087,7.339,782.3985,1560.2901,789.47,8443.2242,5948.9996,1.0,1.0,4.0,5948.9996,789.4779,1005076.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2\pcs-bench-1782391941434; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-basefold-paper-protocol11,basefold,8,paper-network-protocol11,protocol11,2,18,262144,326.7298,213.7463,53.0187,540.4761,692.546875,700.3203125,692.546875,,master_worker_sent_recv,700.3203125,master_worker_sent_recv,717128.0,709168.0,,4036.0,713092.0,717128.0,326.4797,642.1386,206.0481,408.3255,6.7647,46.5267,92.653,53.0129,326.7298,213.7463,1.0,1.0,4.0,213.7463,53.0187,705172.0,121.0,121.0,121.0,100.0,122.0,paper-backed-protocol11-artifact,121,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2\pcs-bench-1782391958058; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-basefold-paper-protocol11,basefold,8,paper-network-protocol11,protocol11,2,19,524288,799.406,596.6708,98.3194,1396.0767999999998,793.84375,801.8203125,793.84375,,master_worker_sent_recv,801.8203125,master_worker_sent_recv,821064.0,812896.0,,4132.0,816932.0,821064.0,798.9978,1589.0673,589.1682,1178.0494,5.8958,92.0327,177.9889,98.3142,799.406,596.6708,1.0,1.0,4.0,596.6708,98.3194,808804.0,121.0,121.0,121.0,100.0,122.0,paper-backed-protocol11-artifact,121,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2\pcs-bench-1782391959892; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-basefold-paper-protocol11,basefold,8,paper-network-protocol11,protocol11,2,20,1048576,1351.5925,852.4051,368.4471,2203.9975999999997,902.09375,910.2734375,902.09375,,master_worker_sent_recv,910.2734375,master_worker_sent_recv,932120.0,923744.0,,4228.0,927892.0,932120.0,1351.3199,2683.7943,839.9976,1608.1323,9.5076,357.1251,711.1013,368.4381,1351.5925,852.4051,1.0,1.0,4.0,852.4051,368.4471,919556.0,121.0,121.0,121.0,100.0,122.0,paper-backed-protocol11-artifact,121,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2\pcs-bench-1782391962630; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
