scheme,backend,backend_rate_inv,runner,opening,workers,nv,polynomial_length,commit_ms,open_ms,verify_ms,prover_ms,proof_kib,communication_kib,verifier_communication_kib,scheme_reported_communication_kib,communication_basis,communication_cost_kib,communication_cost_basis,communication_bytes,verifier_communication_bytes,scheme_reported_communication_bytes,network_commit_bytes,network_open_bytes,network_bytes,paper_worker_commit_max_ms,paper_worker_commit_sum_ms,paper_worker_open_max_ms,paper_worker_open_sum_ms,paper_master_assemble_ms,paper_worker_verify_max_ms,paper_worker_verify_sum_ms,paper_master_verify_ms,paper_batch_claim_ms,paper_batch_sumcheck_ms,paper_batch_combined_open_ms,paper_batch_merkle_ms,paper_batch_verify_ms,paper_individual_worker_proof_count,paper_batched_proof_count,worker_local_compute_ms,end_to_end_open_proof_ms,worker_local_speedup,end_to_end_open_speedup,batch_claim_count,batch_open_ms,batch_verify_ms,batch_proof_bytes,effective_query_count,column_query_count,pcs_query_count,query_security_bits,algebraic_security_bits,query_count_semantics,query_count_target,host_logical_cores,max_workers,cores_per_worker,backend_source,field,hash,code_rate_log,security_target_bits,security_effective_bits,security_exact,source_rev,verified,failure_reason,source
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,18,262144,76.9517,97.7461,16.1838,174.6978,452.2734375,446.7421875,452.2734375,,master_worker_sent_recv,446.7421875,master_worker_sent_recv,457464.0,463128.0,,3732.0,453732.0,457464.0,76.6934,152.8952,76.0934,149.2548,3.229,12.7893,25.5762,16.1813,0.0,0.0,0.0,0.0,0.0,2.0,2.0,76.9517,97.7461,1.0,1.0,16.0,97.7461,16.1838,459436.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2\pcs-bench-1782401340335; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,19,524288,175.2908,132.722,27.847,308.01279999999997,531.6015625,525.7109375,531.6015625,,master_worker_sent_recv,525.7109375,master_worker_sent_recv,538328.0,544360.0,,3828.0,534500.0,538328.0,174.9197,334.8715,128.3979,250.6071,3.5695,23.8401,46.6442,27.8421,0.0,0.0,0.0,0.0,0.0,2.0,2.0,175.2908,132.722,1.0,1.0,16.0,132.722,27.847,540572.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2\pcs-bench-1782401341804; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,20,1048576,326.1718,247.0871,47.4483,573.2589,613.3515625,607.1015625,613.3515625,,master_worker_sent_recv,607.1015625,master_worker_sent_recv,621672.0,628072.0,,3924.0,617748.0,621672.0,325.8966,646.6799,242.0923,479.7201,4.2173,42.9247,83.8048,47.4458,0.0,0.0,0.0,0.0,0.0,2.0,2.0,326.1718,247.0871,1.0,1.0,16.0,247.0871,47.4483,624188.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2\pcs-bench-1782401343373; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,21,2097152,663.3631,435.9054,87.4823,1099.2685000000001,704.2421875,697.6328125,704.2421875,,master_worker_sent_recv,697.6328125,master_worker_sent_recv,714376.0,721144.0,,4020.0,710356.0,714376.0,663.0845,1324.508,430.1666,852.3099,4.882,81.801,162.4011,87.479,0.0,0.0,0.0,0.0,0.0,2.0,2.0,663.3631,435.9054,1.0,1.0,16.0,435.9054,87.4823,717164.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2\pcs-bench-1782401345215; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,22,4194304,1391.2657,922.0227,196.7488,2313.2884,799.1328125,792.1640625,799.1328125,,master_worker_sent_recv,792.1640625,master_worker_sent_recv,811176.0,818312.0,,4116.0,807060.0,811176.0,1390.7613,2765.974,912.0668,1786.3361,7.6741,189.9858,378.7638,196.7438,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1391.2657,922.0227,1.0,1.0,16.0,922.0227,196.7488,814236.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2\pcs-bench-1782401347644; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,23,8388608,3086.4962,1910.1211,404.631,4996.6173,901.6328125,894.3046875,901.6328125,,master_worker_sent_recv,894.3046875,master_worker_sent_recv,915768.0,923272.0,,4212.0,911556.0,915768.0,3086.1584,6086.0503,1901.1418,3767.0568,7.6591,397.8529,781.558,404.6279,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3086.4962,1910.1211,1.0,1.0,16.0,1910.1211,404.631,919100.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2\pcs-bench-1782401351444; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,24,16777216,7734.7756,4325.8426,795.0247,12060.6182,995.2734375,987.5859375,995.2734375,,master_worker_sent_recv,987.5859375,master_worker_sent_recv,1011288.0,1019160.0,,4308.0,1006980.0,1011288.0,7734.3877,15307.4738,4316.8187,8598.9804,7.3709,785.1084,1569.6567,795.0199,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7734.7756,4325.8426,1.0,1.0,16.0,4325.8426,795.0247,1014892.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2\pcs-bench-1782401358157; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-basefold-paper-protocol11,basefold,8,paper-network-protocol11,protocol11,2,18,262144,353.6113,196.7376,48.1871,550.3489,700.0546875,695.1171875,700.0546875,,master_worker_sent_recv,695.1171875,master_worker_sent_recv,711800.0,716856.0,,4036.0,707764.0,711800.0,353.2942,692.7073,190.7827,380.232,4.6684,42.6679,84.0438,48.1812,0.0,0.0,0.0,0.0,0.0,2.0,2.0,353.6113,196.7376,1.0,1.0,16.0,196.7376,48.1871,712860.0,121.0,121.0,121.0,100.0,122.0,paper-backed-protocol11-artifact,121,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2\pcs-bench-1782401372417; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-basefold-paper-protocol11,basefold,8,paper-network-protocol11,protocol11,2,19,524288,666.7894,391.7732,86.9285,1058.5626,808.0546875,802.7578125,808.0546875,,master_worker_sent_recv,802.7578125,master_worker_sent_recv,822024.0,827448.0,,4132.0,817892.0,822024.0,666.4773,1316.3715,383.7733,766.2658,5.674,81.0975,156.4529,86.9247,0.0,0.0,0.0,0.0,0.0,2.0,2.0,666.7894,391.7732,1.0,1.0,16.0,391.7732,86.9285,823356.0,121.0,121.0,121.0,100.0,122.0,paper-backed-protocol11-artifact,121,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2\pcs-bench-1782401374282; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-basefold-paper-protocol11,basefold,8,paper-network-protocol11,protocol11,2,20,1048576,1308.4294,698.7025,174.6956,2007.1318999999999,910.0859375,904.4296875,910.0859375,,master_worker_sent_recv,904.4296875,master_worker_sent_recv,926136.0,931928.0,,4228.0,921908.0,926136.0,1308.1489,2588.4475,691.0127,1380.6426,6.0528,167.6128,334.3757,174.6915,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1308.4294,698.7025,1.0,1.0,16.0,698.7025,174.6956,927740.0,121.0,121.0,121.0,100.0,122.0,paper-backed-protocol11-artifact,121,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2\pcs-bench-1782401376649; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
