scheme,backend,backend_rate_inv,runner,opening,workers,nv,polynomial_length,commit_ms,open_ms,verify_ms,prover_ms,proof_kib,communication_kib,verifier_communication_kib,scheme_reported_communication_kib,communication_basis,communication_cost_kib,communication_cost_basis,communication_bytes,verifier_communication_bytes,scheme_reported_communication_bytes,network_commit_bytes,network_open_bytes,network_bytes,paper_worker_commit_max_ms,paper_worker_commit_sum_ms,paper_worker_open_max_ms,paper_worker_open_sum_ms,paper_master_assemble_ms,paper_worker_verify_max_ms,paper_worker_verify_sum_ms,paper_master_verify_ms,paper_batch_claim_ms,paper_batch_sumcheck_ms,paper_batch_combined_open_ms,paper_batch_merkle_ms,paper_batch_verify_ms,paper_individual_worker_proof_count,paper_batched_proof_count,worker_local_compute_ms,end_to_end_open_proof_ms,worker_local_speedup,end_to_end_open_speedup,batch_claim_count,batch_open_ms,batch_verify_ms,batch_proof_bytes,effective_query_count,column_query_count,pcs_query_count,query_security_bits,algebraic_security_bits,query_count_semantics,query_count_target,host_logical_cores,max_workers,cores_per_worker,backend_source,field,hash,code_rate_log,security_target_bits,security_effective_bits,security_exact,source_rev,verified,failure_reason,source
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,18,262144,71.1802,65.8699,6.1663,137.0501,452.8359375,447.3046875,452.8359375,,master_worker_sent_recv,447.3046875,master_worker_sent_recv,458040.0,463704.0,,3732.0,454308.0,458040.0,70.9266,141.1686,62.1653,123.6838,3.1458,2.683,5.1713,6.164,0.0,0.0,0.0,0.0,0.0,2.0,2.0,71.1802,65.8699,1.0,1.0,16.0,65.8699,6.1663,460012.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-lazycoset-protocol11-nv18-24-w2\pcs-bench-1782494788991; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,19,524288,161.9787,119.4464,7.1082,281.4251,528.1796875,522.2890625,528.1796875,,master_worker_sent_recv,522.2890625,master_worker_sent_recv,534824.0,540856.0,,3828.0,530996.0,534824.0,161.539,317.5532,114.7251,226.5735,3.4918,3.2561,6.4251,7.1052,0.0,0.0,0.0,0.0,0.0,2.0,2.0,161.9787,119.4464,1.0,1.0,16.0,119.4464,7.1082,537068.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-lazycoset-protocol11-nv18-24-w2\pcs-bench-1782494790363; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,20,1048576,305.7912,211.9532,8.1357,517.7444,616.7421875,610.4921875,616.7421875,,master_worker_sent_recv,610.4921875,master_worker_sent_recv,625144.0,631544.0,,3924.0,621220.0,625144.0,305.5566,608.4937,206.5152,410.7328,4.6329,3.7085,7.3038,8.1336,0.0,0.0,0.0,0.0,0.0,2.0,2.0,305.7912,211.9532,1.0,1.0,16.0,211.9532,8.1357,627660.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-lazycoset-protocol11-nv18-24-w2\pcs-bench-1782494791893; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,21,2097152,645.7297,416.1643,8.8888,1061.894,704.3515625,697.7421875,704.3515625,,master_worker_sent_recv,697.7421875,master_worker_sent_recv,714488.0,721256.0,,4020.0,710468.0,714488.0,645.235,1268.1896,410.5728,817.7578,4.7269,3.8965,7.4609,8.8863,0.0,0.0,0.0,0.0,0.0,2.0,2.0,645.7297,416.1643,1.0,1.0,16.0,416.1643,8.8888,717276.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-lazycoset-protocol11-nv18-24-w2\pcs-bench-1782494793643; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,22,4194304,1294.1654,786.4524,9.6548,2080.6178,795.2265625,788.2578125,795.2265625,,master_worker_sent_recv,788.2578125,master_worker_sent_recv,807176.0,814312.0,,4116.0,803060.0,807176.0,1293.286,2564.5143,779.4513,1549.0582,5.3457,3.9927,7.9834,9.6516,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1294.1654,786.4524,1.0,1.0,16.0,786.4524,9.6548,810236.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-lazycoset-protocol11-nv18-24-w2\pcs-bench-1782494795942; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,23,8388608,2667.2706,1576.6948,11.0151,4243.9654,895.2265625,887.8984375,895.2265625,,master_worker_sent_recv,887.8984375,master_worker_sent_recv,909208.0,916712.0,,4212.0,904996.0,909208.0,2666.9793,5324.9711,1569.0727,3127.8104,6.0385,4.7337,9.2082,11.0127,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2667.2706,1576.6948,1.0,1.0,16.0,1576.6948,11.0151,912540.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-lazycoset-protocol11-nv18-24-w2\pcs-bench-1782494799278; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,24,16777216,6181.8602,3302.2614,14.1652,9484.1216,999.2890625,991.6015625,999.2890625,,master_worker_sent_recv,991.6015625,master_worker_sent_recv,1015400.0,1023272.0,,4308.0,1011092.0,1015400.0,6181.5144,12257.4932,3294.1515,6542.7794,6.7328,6.8932,12.3293,14.1629,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6181.8602,3302.2614,1.0,1.0,16.0,3302.2614,14.1652,1019004.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-lazycoset-protocol11-nv18-24-w2\pcs-bench-1782494804767; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-basefold-paper-protocol11,basefold,8,paper-network-protocol11,protocol11,2,18,262144,309.6589,173.3131,8.7558,482.972,704.2421875,699.3046875,704.2421875,,master_worker_sent_recv,699.3046875,master_worker_sent_recv,716088.0,721144.0,,4036.0,712052.0,716088.0,308.8361,608.7325,166.9359,332.5007,5.0512,3.3788,6.7399,8.752,0.0,0.0,0.0,0.0,0.0,2.0,2.0,309.6589,173.3131,1.0,1.0,16.0,173.3131,8.7558,717148.0,121.0,121.0,121.0,100.0,122.0,paper-backed-protocol11-artifact,121,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-lazycoset-protocol11-nv18-24-w2\pcs-bench-1782494815500; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-basefold-paper-protocol11,basefold,8,paper-network-protocol11,protocol11,2,19,524288,614.319,337.7118,9.7028,952.0308,805.0546875,799.7578125,805.0546875,,master_worker_sent_recv,799.7578125,master_worker_sent_recv,818952.0,824376.0,,4132.0,814820.0,818952.0,613.9544,1220.9597,330.8422,660.218,5.7837,3.8671,7.5687,9.6994,0.0,0.0,0.0,0.0,0.0,2.0,2.0,614.319,337.7118,1.0,1.0,16.0,337.7118,9.7028,820284.0,121.0,121.0,121.0,100.0,122.0,paper-backed-protocol11-artifact,121,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-lazycoset-protocol11-nv18-24-w2\pcs-bench-1782494817236; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-basefold-paper-protocol11,basefold,8,paper-network-protocol11,protocol11,2,20,1048576,1292.5239,655.2726,11.1855,1947.7965,922.3984375,916.7421875,922.3984375,,master_worker_sent_recv,916.7421875,master_worker_sent_recv,938744.0,944536.0,,4228.0,934516.0,938744.0,1292.1312,2564.8059,647.859,1283.2319,6.3414,4.4459,8.6229,11.182,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1292.5239,655.2726,1.0,1.0,16.0,655.2726,11.1855,940348.0,121.0,121.0,121.0,100.0,122.0,paper-backed-protocol11-artifact,121,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-lazycoset-protocol11-nv18-24-w2\pcs-bench-1782494819421; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
