index,kind,scheme,backend,opening,rate_inv,nv,workers,query_count,query_count_semantics,cores_per_worker,total_thread_budget,status,command,failure_reason,started_at,finished_at,elapsed_s
1,depcs,depcs-deepfold-paper-protocol11,deepfold,protocol11,2,18,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 18..18 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-lazycoset-protocol11-nv18-24-w2,,2026-06-27T01:26:28,2026-06-27T01:26:30,1.414
2,depcs,depcs-deepfold-paper-protocol11,deepfold,protocol11,2,19,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 19..19 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-lazycoset-protocol11-nv18-24-w2,,2026-06-27T01:26:30,2026-06-27T01:26:31,1.503
3,depcs,depcs-deepfold-paper-protocol11,deepfold,protocol11,2,20,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 20..20 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-lazycoset-protocol11-nv18-24-w2,,2026-06-27T01:26:31,2026-06-27T01:26:33,1.780
4,depcs,depcs-deepfold-paper-protocol11,deepfold,protocol11,2,21,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 21..21 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-lazycoset-protocol11-nv18-24-w2,,2026-06-27T01:26:33,2026-06-27T01:26:35,2.295
5,depcs,depcs-deepfold-paper-protocol11,deepfold,protocol11,2,22,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 22..22 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-lazycoset-protocol11-nv18-24-w2,,2026-06-27T01:26:35,2026-06-27T01:26:39,3.315
6,depcs,depcs-deepfold-paper-protocol11,deepfold,protocol11,2,23,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 23..23 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-lazycoset-protocol11-nv18-24-w2,,2026-06-27T01:26:39,2026-06-27T01:26:44,5.497
7,depcs,depcs-deepfold-paper-protocol11,deepfold,protocol11,2,24,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 24..24 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-lazycoset-protocol11-nv18-24-w2,,2026-06-27T01:26:44,2026-06-27T01:26:55,10.728
8,depcs,depcs-basefold-paper-protocol11,basefold,protocol11,8,18,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend basefold --backend-rate-inv 8 --nv-range 18..18 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-lazycoset-protocol11-nv18-24-w2,,2026-06-27T01:26:55,2026-06-27T01:26:57,1.717
9,depcs,depcs-basefold-paper-protocol11,basefold,protocol11,8,19,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend basefold --backend-rate-inv 8 --nv-range 19..19 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-lazycoset-protocol11-nv18-24-w2,,2026-06-27T01:26:57,2026-06-27T01:26:59,2.211
10,depcs,depcs-basefold-paper-protocol11,basefold,protocol11,8,20,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend basefold --backend-rate-inv 8 --nv-range 20..20 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-lazycoset-protocol11-nv18-24-w2,,2026-06-27T01:26:59,2026-06-27T01:27:02,3.207
11,depcs,depcs-basefold-paper-protocol11,basefold,protocol11,8,21,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend basefold --backend-rate-inv 8 --nv-range 21..21 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-lazycoset-protocol11-nv18-24-w2,,2026-06-27T01:27:02,2026-06-27T01:27:07,5.192
12,depcs,depcs-basefold-paper-protocol11,basefold,protocol11,8,22,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend basefold --backend-rate-inv 8 --nv-range 22..22 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-lazycoset-protocol11-nv18-24-w2,,2026-06-27T01:27:07,2026-06-27T01:27:16,9.293
13,depcs,depcs-basefold-paper-protocol11,basefold,protocol11,8,23,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend basefold --backend-rate-inv 8 --nv-range 23..23 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-lazycoset-protocol11-nv18-24-w2,,2026-06-27T01:27:16,2026-06-27T01:27:36,19.222
14,depcs,depcs-basefold-paper-protocol11,basefold,protocol11,8,24,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend basefold --backend-rate-inv 8 --nv-range 24..24 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-lazycoset-protocol11-nv18-24-w2,,2026-06-27T01:27:36,2026-06-27T01:28:33,57.359
