scheme,backend,backend_rate_inv,runner,opening,workers,nv,polynomial_length,commit_ms,open_ms,verify_ms,prover_ms,proof_kib,communication_kib,verifier_communication_kib,scheme_reported_communication_kib,communication_basis,communication_cost_kib,communication_cost_basis,communication_bytes,verifier_communication_bytes,scheme_reported_communication_bytes,network_commit_bytes,network_open_bytes,network_bytes,paper_worker_commit_max_ms,paper_worker_commit_sum_ms,paper_worker_open_max_ms,paper_worker_open_sum_ms,paper_master_assemble_ms,paper_worker_verify_max_ms,paper_worker_verify_sum_ms,paper_master_verify_ms,paper_batch_claim_ms,paper_batch_sumcheck_ms,paper_batch_combined_open_ms,paper_batch_merkle_ms,paper_batch_verify_ms,paper_individual_worker_proof_count,paper_batched_proof_count,worker_local_compute_ms,end_to_end_open_proof_ms,worker_local_speedup,end_to_end_open_speedup,batch_claim_count,batch_open_ms,batch_verify_ms,batch_proof_bytes,effective_query_count,column_query_count,pcs_query_count,query_security_bits,algebraic_security_bits,query_count_semantics,query_count_target,host_logical_cores,max_workers,cores_per_worker,backend_source,field,hash,code_rate_log,security_target_bits,security_effective_bits,security_exact,source_rev,verified,failure_reason,source
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,18,262144,71.4044,75.632,16.1778,147.03640000000001,437.578125,444.7578125,437.578125,,master_worker_sent_recv,444.7578125,master_worker_sent_recv,455432.0,448080.0,,3732.0,451700.0,455432.0,71.0199,141.9788,72.054,140.6099,2.9248,12.7291,25.1737,16.1727,0.0,0.0,0.0,0.0,0.0,2.0,2.0,71.4044,75.632,1.0,1.0,4.0,75.632,16.1778,444388.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-batch-audit-nv18-24-w2\pcs-bench-1782400186395; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,19,524288,148.4082,126.1687,26.2108,274.5769,522.828125,530.2109375,522.828125,,master_worker_sent_recv,530.2109375,master_worker_sent_recv,542936.0,535376.0,,3828.0,539108.0,542936.0,148.0393,293.9039,121.834,241.0646,3.3532,21.9765,43.4598,26.2039,0.0,0.0,0.0,0.0,0.0,2.0,2.0,148.4082,126.1687,1.0,1.0,4.0,126.1687,26.2108,531588.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-batch-audit-nv18-24-w2\pcs-bench-1782400187757; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,20,1048576,307.7848,223.4082,47.6021,531.193,602.5,610.0859375,602.5,,master_worker_sent_recv,610.0859375,master_worker_sent_recv,624728.0,616960.0,,3924.0,620804.0,624728.0,307.3759,607.81,218.4963,436.1224,3.7443,42.9124,85.0271,47.595,0.0,0.0,0.0,0.0,0.0,2.0,2.0,307.7848,223.4082,1.0,1.0,4.0,223.4082,47.6021,613076.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-batch-audit-nv18-24-w2\pcs-bench-1782400189264; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,21,2097152,669.104,475.8554,83.9968,1144.9594,686.1875,693.9765625,686.1875,,master_worker_sent_recv,693.9765625,master_worker_sent_recv,710632.0,702656.0,,4020.0,706612.0,710632.0,668.7504,1333.9301,470.6944,938.8982,4.4163,78.9651,157.5355,83.9909,0.0,0.0,0.0,0.0,0.0,2.0,2.0,669.104,475.8554,1.0,1.0,4.0,475.8554,83.9968,698676.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-batch-audit-nv18-24-w2\pcs-bench-1782400191061; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,22,4194304,1335.8635,899.1387,358.5097,2235.0022,785.6875,793.6796875,785.6875,,master_worker_sent_recv,793.6796875,master_worker_sent_recv,812728.0,804544.0,,4116.0,808612.0,812728.0,1335.6149,2669.7189,888.0725,1688.0047,8.6178,348.5037,695.1269,358.4927,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1335.8635,899.1387,1.0,1.0,4.0,899.1387,358.5097,800468.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-batch-audit-nv18-24-w2\pcs-bench-1782400193552; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,23,8388608,3328.5503,2990.7166,707.3371,6319.2669000000005,877.703125,885.8984375,877.703125,,master_worker_sent_recv,885.8984375,master_worker_sent_recv,907160.0,898768.0,,4212.0,902948.0,907160.0,3328.1791,6232.6426,2979.0711,5941.5052,9.9187,696.0255,1389.0601,707.3262,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3328.5503,2990.7166,1.0,1.0,4.0,2990.7166,707.3371,894596.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-batch-audit-nv18-24-w2\pcs-bench-1782400197402; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-deepfold-paper-protocol11,deepfold,2,paper-network-protocol11,protocol11,2,24,16777216,11012.088,6288.4863,1369.7242,17300.5743,993.84375,1002.2421875,993.84375,,master_worker_sent_recv,1002.2421875,master_worker_sent_recv,1026296.0,1017696.0,,4308.0,1021988.0,1026296.0,11011.6497,20757.7911,6264.1831,12493.3267,10.6636,1357.9329,2711.6748,1369.7118,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11012.088,6288.4863,1.0,1.0,4.0,6288.4863,1369.7242,1013428.0,100.0,100.0,100.0,100.0,122.0,paper-backed-protocol11-artifact,100,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,1,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-batch-audit-nv18-24-w2\pcs-bench-1782400205720; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-basefold-paper-protocol11,basefold,8,paper-network-protocol11,protocol11,2,18,262144,313.3029,178.9049,45.2416,492.2078,693.296875,701.0703125,693.296875,,master_worker_sent_recv,701.0703125,master_worker_sent_recv,717896.0,709936.0,,4036.0,713860.0,717896.0,312.8112,625.1274,173.6024,346.6405,4.4801,40.107,79.9505,45.2367,0.0,0.0,0.0,0.0,0.0,2.0,2.0,313.3029,178.9049,1.0,1.0,4.0,178.9049,45.2416,705940.0,121.0,121.0,121.0,100.0,122.0,paper-backed-protocol11-artifact,121,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-batch-audit-nv18-24-w2\pcs-bench-1782400225775; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-basefold-paper-protocol11,basefold,8,paper-network-protocol11,protocol11,2,19,524288,620.0792,350.407,89.4194,970.4862,789.921875,797.8984375,789.921875,,master_worker_sent_recv,797.8984375,master_worker_sent_recv,817048.0,808880.0,,4132.0,812916.0,817048.0,619.3375,1234.4724,343.953,687.8078,5.1778,83.8545,166.3403,89.4144,0.0,0.0,0.0,0.0,0.0,2.0,2.0,620.0792,350.407,1.0,1.0,4.0,350.407,89.4194,804788.0,121.0,121.0,121.0,100.0,122.0,paper-backed-protocol11-artifact,121,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-batch-audit-nv18-24-w2\pcs-bench-1782400227536; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
depcs-basefold-paper-protocol11,basefold,8,paper-network-protocol11,protocol11,2,20,1048576,1350.3541,739.4824,356.3784,2089.8365,905.5625,913.7421875,905.5625,,master_worker_sent_recv,913.7421875,master_worker_sent_recv,935672.0,927296.0,,4228.0,931444.0,935672.0,1349.673,2699.0416,727.4715,1423.9969,9.5239,346.0019,691.1207,356.3684,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1350.3541,739.4824,1.0,1.0,4.0,739.4824,356.3784,923108.0,121.0,121.0,121.0,100.0,122.0,paper-backed-protocol11-artifact,121,20,2,10,deepfold-bench-v0.1-paper-artifact,Mersenne61Ext,Blake3,3,100,100,true,e4245da33690a9e2afe8f0c1e237b2edde88f6ba,1,,C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-batch-audit-nv18-24-w2\pcs-bench-1782400229856; pcs_queries_requested=1; master_RAYON_NUM_THREADS=20; worker_process_RAYON_NUM_THREADS=10; PQ_CORES_PER_WORKER=10; query_count_semantics=paper-backed-protocol11-artifact
