index,kind,scheme,backend,opening,rate_inv,nv,workers,query_count,query_count_semantics,cores_per_worker,total_thread_budget,status,command,failure_reason,started_at,finished_at,elapsed_s
1,depcs,depcs-deepfold-paper-protocol11,deepfold,protocol11,2,18,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 18..18 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-batch-audit-nv18-24-w2,,2026-06-25T23:09:46,2026-06-25T23:09:47,1.389
2,depcs,depcs-deepfold-paper-protocol11,deepfold,protocol11,2,19,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 19..19 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-batch-audit-nv18-24-w2,,2026-06-25T23:09:47,2026-06-25T23:09:49,1.503
3,depcs,depcs-deepfold-paper-protocol11,deepfold,protocol11,2,20,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 20..20 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-batch-audit-nv18-24-w2,,2026-06-25T23:09:49,2026-06-25T23:09:50,1.792
4,depcs,depcs-deepfold-paper-protocol11,deepfold,protocol11,2,21,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 21..21 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-batch-audit-nv18-24-w2,,2026-06-25T23:09:50,2026-06-25T23:09:53,2.459
5,depcs,depcs-deepfold-paper-protocol11,deepfold,protocol11,2,22,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 22..22 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-batch-audit-nv18-24-w2,,2026-06-25T23:09:53,2026-06-25T23:09:57,3.879
6,depcs,depcs-deepfold-paper-protocol11,deepfold,protocol11,2,23,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 23..23 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-batch-audit-nv18-24-w2,,2026-06-25T23:09:57,2026-06-25T23:10:05,8.318
7,depcs,depcs-deepfold-paper-protocol11,deepfold,protocol11,2,24,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 24..24 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-batch-audit-nv18-24-w2,,2026-06-25T23:10:05,2026-06-25T23:10:25,20.037
8,depcs,depcs-basefold-paper-protocol11,basefold,protocol11,8,18,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend basefold --backend-rate-inv 8 --nv-range 18..18 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-batch-audit-nv18-24-w2,,2026-06-25T23:10:25,2026-06-25T23:10:27,1.769
9,depcs,depcs-basefold-paper-protocol11,basefold,protocol11,8,19,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend basefold --backend-rate-inv 8 --nv-range 19..19 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-batch-audit-nv18-24-w2,,2026-06-25T23:10:27,2026-06-25T23:10:29,2.316
10,depcs,depcs-basefold-paper-protocol11,basefold,protocol11,8,20,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend basefold --backend-rate-inv 8 --nv-range 20..20 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-batch-audit-nv18-24-w2,,2026-06-25T23:10:29,2026-06-25T23:10:33,3.686
