index,kind,scheme,backend,rate_inv,nv,workers,query_count,query_count_semantics,cores_per_worker,total_thread_budget,status,command,failure_reason,started_at,finished_at,elapsed_s
1,depcs,depcs-deepfold-paper-protocol11,deepfold,2,18,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 18..18 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2,,2026-06-25T20:52:00,2026-06-25T20:52:01,1.499
2,depcs,depcs-deepfold-paper-protocol11,deepfold,2,19,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 19..19 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2,,2026-06-25T20:52:01,2026-06-25T20:52:03,1.579
3,depcs,depcs-deepfold-paper-protocol11,deepfold,2,20,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 20..20 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2,,2026-06-25T20:52:03,2026-06-25T20:52:05,1.886
4,depcs,depcs-deepfold-paper-protocol11,deepfold,2,21,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 21..21 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2,,2026-06-25T20:52:05,2026-06-25T20:52:08,3.280
5,depcs,depcs-deepfold-paper-protocol11,deepfold,2,22,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 22..22 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2,,2026-06-25T20:52:08,2026-06-25T20:52:12,3.981
6,depcs,depcs-deepfold-paper-protocol11,deepfold,2,23,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 23..23 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2,,2026-06-25T20:52:12,2026-06-25T20:52:21,8.858
7,depcs,depcs-deepfold-paper-protocol11,deepfold,2,24,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 24..24 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2,,2026-06-25T20:52:21,2026-06-25T20:52:37,16.631
8,depcs,depcs-basefold-paper-protocol11,basefold,8,18,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend basefold --backend-rate-inv 8 --nv-range 18..18 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2,,2026-06-25T20:52:37,2026-06-25T20:52:39,1.839
9,depcs,depcs-basefold-paper-protocol11,basefold,8,19,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend basefold --backend-rate-inv 8 --nv-range 19..19 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2,,2026-06-25T20:52:39,2026-06-25T20:52:42,2.738
10,depcs,depcs-basefold-paper-protocol11,basefold,8,20,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend basefold --backend-rate-inv 8 --nv-range 20..20 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2,,2026-06-25T20:52:42,2026-06-25T20:52:46,3.849
11,depcs,depcs-basefold-paper-protocol11,basefold,8,21,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend basefold --backend-rate-inv 8 --nv-range 21..21 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2,,2026-06-25T20:52:46,2026-06-25T20:52:55,8.771
12,depcs,depcs-basefold-paper-protocol11,basefold,8,22,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend basefold --backend-rate-inv 8 --nv-range 22..22 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2,,2026-06-25T20:52:55,2026-06-25T20:53:14,19.458
13,depcs,depcs-basefold-paper-protocol11,basefold,8,23,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend basefold --backend-rate-inv 8 --nv-range 23..23 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2,,2026-06-25T20:53:14,2026-06-25T20:54:05,50.716
14,depcs,depcs-basefold-paper-protocol11,basefold,8,24,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend basefold --backend-rate-inv 8 --nv-range 24..24 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-nv18-24-w2,,2026-06-25T20:54:05,2026-06-25T20:56:11,125.942
15,ligesis,LigeSIS,ligesis,0,18,2,,scheme-native-ligesis,10,20,completed,C:\Projects\pq_dSNARK\third_party\ligesis-pcs-3447\target\release\examples\dLigesis.exe --local-parties 2 --mu 18 --cores-per-worker 10 --query-count-semantics scheme-native-ligesis,,2026-06-25T20:56:11,2026-06-25T20:56:15,3.985
16,ligesis,LigeSIS,ligesis,0,19,2,,scheme-native-ligesis,10,20,completed,C:\Projects\pq_dSNARK\third_party\ligesis-pcs-3447\target\release\examples\dLigesis.exe --local-parties 2 --mu 19 --cores-per-worker 10 --query-count-semantics scheme-native-ligesis,,2026-06-25T20:56:15,2026-06-25T20:56:19,4.272
17,ligesis,LigeSIS,ligesis,0,20,2,,scheme-native-ligesis,10,20,completed,C:\Projects\pq_dSNARK\third_party\ligesis-pcs-3447\target\release\examples\dLigesis.exe --local-parties 2 --mu 20 --cores-per-worker 10 --query-count-semantics scheme-native-ligesis,,2026-06-25T20:56:19,2026-06-25T20:56:24,4.518
18,ligesis,LigeSIS,ligesis,0,21,2,,scheme-native-ligesis,10,20,completed,C:\Projects\pq_dSNARK\third_party\ligesis-pcs-3447\target\release\examples\dLigesis.exe --local-parties 2 --mu 21 --cores-per-worker 10 --query-count-semantics scheme-native-ligesis,,2026-06-25T20:56:24,2026-06-25T20:56:28,4.771
19,ligesis,LigeSIS,ligesis,0,22,2,,scheme-native-ligesis,10,20,completed,C:\Projects\pq_dSNARK\third_party\ligesis-pcs-3447\target\release\examples\dLigesis.exe --local-parties 2 --mu 22 --cores-per-worker 10 --query-count-semantics scheme-native-ligesis,,2026-06-25T20:56:28,2026-06-25T20:56:34,5.520
20,ligesis,LigeSIS,ligesis,0,23,2,,scheme-native-ligesis,10,20,completed,C:\Projects\pq_dSNARK\third_party\ligesis-pcs-3447\target\release\examples\dLigesis.exe --local-parties 2 --mu 23 --cores-per-worker 10 --query-count-semantics scheme-native-ligesis,,2026-06-25T20:56:34,2026-06-25T20:56:40,6.526
21,ligesis,LigeSIS,ligesis,0,24,2,,scheme-native-ligesis,10,20,completed,C:\Projects\pq_dSNARK\third_party\ligesis-pcs-3447\target\release\examples\dLigesis.exe --local-parties 2 --mu 24 --cores-per-worker 10 --query-count-semantics scheme-native-ligesis,,2026-06-25T20:56:40,2026-06-25T20:56:50,9.781
22,external,dFRIttata,dfrittata-pcs,0,18,2,,scheme-native-external,10,20,completed,C:\Projects\pq_dSNARK\third_party\ligesis-pcs-3447\target\release\examples\dFrittata.exe --local-parties 2 --mu 18 --cores-per-worker 10,,2026-06-25T20:56:50,2026-06-25T20:56:54,4.209
23,external,dFRIttata,dfrittata-pcs,0,19,2,,scheme-native-external,10,20,completed,C:\Projects\pq_dSNARK\third_party\ligesis-pcs-3447\target\release\examples\dFrittata.exe --local-parties 2 --mu 19 --cores-per-worker 10,,2026-06-25T20:56:54,2026-06-25T20:56:59,4.271
24,external,dFRIttata,dfrittata-pcs,0,20,2,,scheme-native-external,10,20,completed,C:\Projects\pq_dSNARK\third_party\ligesis-pcs-3447\target\release\examples\dFrittata.exe --local-parties 2 --mu 20 --cores-per-worker 10,,2026-06-25T20:56:59,2026-06-25T20:57:04,5.020
25,external,dFRIttata,dfrittata-pcs,0,21,2,,scheme-native-external,10,20,completed,C:\Projects\pq_dSNARK\third_party\ligesis-pcs-3447\target\release\examples\dFrittata.exe --local-parties 2 --mu 21 --cores-per-worker 10,,2026-06-25T20:57:04,2026-06-25T20:57:09,5.770
26,external,dFRIttata,dfrittata-pcs,0,22,2,,scheme-native-external,10,20,completed,C:\Projects\pq_dSNARK\third_party\ligesis-pcs-3447\target\release\examples\dFrittata.exe --local-parties 2 --mu 22 --cores-per-worker 10,,2026-06-25T20:57:09,2026-06-25T20:57:17,8.022
27,external,dFRIttata,dfrittata-pcs,0,23,2,,scheme-native-external,10,20,completed,C:\Projects\pq_dSNARK\third_party\ligesis-pcs-3447\target\release\examples\dFrittata.exe --local-parties 2 --mu 23 --cores-per-worker 10,,2026-06-25T20:57:17,2026-06-25T20:57:30,12.779
28,external,dFRIttata,dfrittata-pcs,0,24,2,,scheme-native-external,10,20,completed,C:\Projects\pq_dSNARK\third_party\ligesis-pcs-3447\target\release\examples\dFrittata.exe --local-parties 2 --mu 24 --cores-per-worker 10,,2026-06-25T20:57:30,2026-06-25T20:57:52,21.795
29,external,dPIP-FRI,dpip-fri-pcs,0,18,2,,scheme-native-external,10,20,completed,C:\Projects\pq_dSNARK\third_party\ligesis-pcs-3447\external\PIP_FRI\target\release\examples\de_pip_fri.exe --local-parties 2 --mu 18 --cores-per-worker 10,,2026-06-25T20:57:52,2026-06-25T20:57:52,0.264
30,external,dPIP-FRI,dpip-fri-pcs,0,19,2,,scheme-native-external,10,20,completed,C:\Projects\pq_dSNARK\third_party\ligesis-pcs-3447\external\PIP_FRI\target\release\examples\de_pip_fri.exe --local-parties 2 --mu 19 --cores-per-worker 10,,2026-06-25T20:57:52,2026-06-25T20:57:53,0.762
31,external,dPIP-FRI,dpip-fri-pcs,0,20,2,,scheme-native-external,10,20,completed,C:\Projects\pq_dSNARK\third_party\ligesis-pcs-3447\external\PIP_FRI\target\release\examples\de_pip_fri.exe --local-parties 2 --mu 20 --cores-per-worker 10,,2026-06-25T20:57:53,2026-06-25T20:57:54,1.011
32,external,dPIP-FRI,dpip-fri-pcs,0,21,2,,scheme-native-external,10,20,completed,C:\Projects\pq_dSNARK\third_party\ligesis-pcs-3447\external\PIP_FRI\target\release\examples\de_pip_fri.exe --local-parties 2 --mu 21 --cores-per-worker 10,,2026-06-25T20:57:54,2026-06-25T20:57:55,1.261
33,external,dPIP-FRI,dpip-fri-pcs,0,22,2,,scheme-native-external,10,20,completed,C:\Projects\pq_dSNARK\third_party\ligesis-pcs-3447\external\PIP_FRI\target\release\examples\de_pip_fri.exe --local-parties 2 --mu 22 --cores-per-worker 10,,2026-06-25T20:57:55,2026-06-25T20:57:57,2.041
34,external,dPIP-FRI,dpip-fri-pcs,0,23,2,,scheme-native-external,10,20,completed,C:\Projects\pq_dSNARK\third_party\ligesis-pcs-3447\external\PIP_FRI\target\release\examples\de_pip_fri.exe --local-parties 2 --mu 23 --cores-per-worker 10,,2026-06-25T20:57:57,2026-06-25T20:58:01,3.516
35,external,dPIP-FRI,dpip-fri-pcs,0,24,2,,scheme-native-external,10,20,completed,C:\Projects\pq_dSNARK\third_party\ligesis-pcs-3447\external\PIP_FRI\target\release\examples\de_pip_fri.exe --local-parties 2 --mu 24 --cores-per-worker 10,,2026-06-25T20:58:01,2026-06-25T20:58:07,6.019
