index,kind,scheme,backend,opening,rate_inv,nv,workers,query_count,query_count_semantics,cores_per_worker,total_thread_budget,status,command,failure_reason,started_at,finished_at,elapsed_s
1,depcs,depcs-deepfold-paper-protocol11,deepfold,protocol11,2,18,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 18..18 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2,,2026-06-25T23:28:59,2026-06-25T23:29:01,1.689
2,depcs,depcs-deepfold-paper-protocol11,deepfold,protocol11,2,19,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 19..19 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2,,2026-06-25T23:29:01,2026-06-25T23:29:03,1.600
3,depcs,depcs-deepfold-paper-protocol11,deepfold,protocol11,2,20,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 20..20 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2,,2026-06-25T23:29:03,2026-06-25T23:29:05,1.845
4,depcs,depcs-deepfold-paper-protocol11,deepfold,protocol11,2,21,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 21..21 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2,,2026-06-25T23:29:05,2026-06-25T23:29:07,2.418
5,depcs,depcs-deepfold-paper-protocol11,deepfold,protocol11,2,22,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 22..22 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2,,2026-06-25T23:29:07,2026-06-25T23:29:11,3.766
6,depcs,depcs-deepfold-paper-protocol11,deepfold,protocol11,2,23,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 23..23 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2,,2026-06-25T23:29:11,2026-06-25T23:29:17,6.741
7,depcs,depcs-deepfold-paper-protocol11,deepfold,protocol11,2,24,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend deepfold --backend-rate-inv 2 --nv-range 24..24 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2,,2026-06-25T23:29:17,2026-06-25T23:29:32,14.247
8,depcs,depcs-basefold-paper-protocol11,basefold,protocol11,8,18,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend basefold --backend-rate-inv 8 --nv-range 18..18 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2,,2026-06-25T23:29:32,2026-06-25T23:29:34,1.846
9,depcs,depcs-basefold-paper-protocol11,basefold,protocol11,8,19,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend basefold --backend-rate-inv 8 --nv-range 19..19 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2,,2026-06-25T23:29:34,2026-06-25T23:29:36,2.398
10,depcs,depcs-basefold-paper-protocol11,basefold,protocol11,8,20,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend basefold --backend-rate-inv 8 --nv-range 20..20 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2,,2026-06-25T23:29:36,2026-06-25T23:29:39,3.426
11,depcs,depcs-basefold-paper-protocol11,basefold,protocol11,8,21,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend basefold --backend-rate-inv 8 --nv-range 21..21 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2,,2026-06-25T23:29:39,2026-06-25T23:29:45,5.861
12,depcs,depcs-basefold-paper-protocol11,basefold,protocol11,8,22,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend basefold --backend-rate-inv 8 --nv-range 22..22 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2,,2026-06-25T23:29:45,2026-06-25T23:29:55,10.123
13,depcs,depcs-basefold-paper-protocol11,basefold,protocol11,8,23,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend basefold --backend-rate-inv 8 --nv-range 23..23 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2,,2026-06-25T23:29:55,2026-06-25T23:30:17,21.721
14,depcs,depcs-basefold-paper-protocol11,basefold,protocol11,8,24,2,1,query-unified,10,20,completed,cargo run -p pq-experiments --release -- pcs-benchmark --runner local-network --opening protocol11 --backend basefold --backend-rate-inv 8 --nv-range 24..24 --workers 2 --pcs-queries 1 --security-bits 100 --repeats 1 --cores-per-worker 10 --no-pcs-warmup --out C:\Projects\pq_dSNARK\results\depcs-fiveway-paper-protocol11-relation-proof-nv18-24-w2,,2026-06-25T23:30:17,2026-06-25T23:31:35,78.177
