runner,opening,trial,workers,nv_power,size,t_rows_per_worker,paper_b_target,shard_len,pcs_queries_requested,pcs_queries_effective,partition_ms,worker_commit_ms,master_commit_ms,commit_ms,open_ms,verify_ms,commitment_bytes,opening_proof_bytes,communication_bytes,network_commit_bytes,network_open_bytes,network_bytes,host_logical_cores,cores_per_worker,core_affinity,verified,failure_reason
local,compact,1,1,4,16,16.000000,4,16,1,1,0.002100,0.617300,0.073200,0.692900,11.826200,7.681900,112,9655,9687,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,2,4,16,8.000000,6,8,1,1,0.002200,0.356000,0.104900,0.463400,8.628800,7.327900,176,8825,8889,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,4,4,16,4.000000,8,4,1,1,0.003900,0.693500,0.165600,0.863400,7.340900,7.019400,304,8773,8901,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,8,4,16,2.000000,8,2,1,1,0.003900,0.405200,0.283200,0.692900,7.979000,7.948100,560,9683,9939,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,16,4,16,1.000000,16,1,1,1,0.004700,0.779800,0.522800,1.307600,9.509400,10.452400,1072,11527,12039,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,1,5,32,32.000000,5,32,1,1,0.004400,0.846900,0.074800,0.926900,18.525800,10.753200,112,11865,11897,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,2,5,32,16.000000,8,16,1,1,0.003400,0.621900,0.103100,0.728700,12.592800,8.730900,176,11035,11099,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,4,5,32,8.000000,12,8,1,1,0.003700,0.414800,0.164600,0.583700,10.479100,8.727300,304,11181,11309,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,8,5,32,4.000000,16,4,1,1,0.003200,0.494700,0.284700,0.782700,10.211300,10.005100,560,12685,12941,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,16,5,32,2.000000,16,2,1,1,0.004900,0.836400,0.620300,1.462100,12.186000,12.874000,1072,15915,16427,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,1,6,64,64.000000,6,64,1,1,0.002800,1.001700,0.073100,1.078100,23.299900,11.675300,112,14273,14305,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,2,6,64,32.000000,10,32,1,1,0.003600,0.736000,0.104500,0.844600,18.108600,10.577000,176,13443,13507,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,4,6,64,16.000000,16,16,1,1,0.004000,0.955000,0.165700,1.125300,15.440900,11.247500,304,13787,13915,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,8,6,64,8.000000,24,8,1,1,0.005100,0.735200,0.284800,1.025500,13.629100,12.282300,560,15885,16141,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,16,6,64,4.000000,32,4,1,1,0.005200,1.040600,0.521200,1.567300,15.493700,16.005500,1072,20501,21013,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,1,7,128,128.000000,7,128,1,1,0.003100,1.513400,0.074300,1.591400,32.612200,13.317300,112,16879,16911,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,2,7,128,64.000000,12,64,1,1,0.003800,1.407700,0.105400,1.517500,23.988500,12.556500,176,16049,16113,0,0,0,20,1,windows-powershell-processor-affinity,true,
